ID,Formula,Compound Name,A,B,C,TMIN (K),TMAX (K)
309,C7H16,c7,6.89385,1264.37,-56.514,271.15,396.15
310,C7H16,2-methylhexane,6.87318,1236.026,-53.605,264.15,388.15
311,C7H16,3-methylhexane,6.86764,1240.196,-53.927,265.15,390.15
312,C7H16,3-ethylpentane,6.87564,1251.827,-53.263,266.15,391.15
313,C7H16,"2,2-dimethylpentane",6.8148,1190.033,-49.847,254.15,377.15
314,C7H16,"2,3-dimethylpentane",6.85382,1238.017,-51.327,263.15,388.15
315,C7H16,"2,4-dimethylpentane",6.82621,1192.041,-51.516,256.15,378.15
316,C7H16,"3,3-dimethylpentane",6.82667,1228.663,-47.834,259.15,384.15
317,C7H16,"2,2,3-trimethylbutane",6.7923,1200.563,-47.1,254.15,379.15
318,C7H16O,isopropyl-tert-butyl-ether,6.62913,1257.6,-43.14,314.15,407.15
319,C7H16O,heptyl-alcohol,6.6476,1140.64,-146.59,333.15,449.15
320,C7H16S,butyl-propyl-sulfide,6.65279,1421.32,-67.34,372.15,476.15
321,C7H16S,ethyl-pentyl-sulfide,6.65279,1421.32,-67.34,372.15,476.15
322,C7H16S,hexyl-methyl-sulfide,6.65279,1421.32,-67.34,372.15,476.15
323,C7H16S,1-heptanethiol,6.95249,1525.311,-75.454,332.15,479.15
324,C8H6,ethynylbenzene,6.957,1445.58,-63.71,355.15,445.15
325,C8H8,styrene,6.9571,1445.58,-63.71,305.15,460.15
326,C8H8,"1,3,5,7-cyclooctatetraene",7.00669,1472.11,-57.31,273.15,348.15
327,C8H10,ethylbenzene,6.95719,1424.255,-59.944,299.15,436.15
328,C8H10,m-xylene,7.00908,1462.266,-58.045,301.15,439.15
329,C8H10,o-xylene,6.99891,1474.679,-59.464,305.15,445.15
330,C8H10,p-xylene,6.99052,1453.43,-57.843,300.15,439.15
331,C8H14,1-octyne,7.02447,1413.8,-58.15,298.15,443.15
332,C8H16,1-octene,6.93263,1353.486,-60.386,288.15,421.15
333,C8H16,cyclooctane,6.8619,1437.78,-63.17,367.15,470.15
334,C8H16,propylcyclopentane,6.90392,1384.386,-59.991,294.15,431.15
335,C8H16,ethylcyclohexane,6.86728,1382.466,-58.155,294.15,433.15
336,C8H16,"1,1-dimethylcyclohexane",6.79821,1321.705,-55.305,283.15,420.15
337,C8H16,"c-1,2-dimethylcyclohexane",6.83746,1367.311,-57.315,291.15,431.15
338,C8H16,"t-1,2-dimethylcyclohexane",6.83308,1353.881,-54.018,286.15,424.15
339,C8H16,"c-1,3-dimethylcyclohexane",6.83883,1338.473,-55.078,284.15,420.15
340,C8H16,"t-1,3-dimethylcyclohexane",6.83455,1343.687,-57.756,288.15,425.15
341,C8H16,"c-1,4-dimethylcyclohexane",6.83287,1345.613,-56.996,288.15,425.15
342,C8H16,"t-1,4-dimethylcyclohexane",6.81773,1330.437,-54.569,283.15,420.15
343,C8H16O,octanal,12.51168,3977.531,-28.618,346.15,442.15
344,C8H18,c8,6.9094,1349.82,-63.765,292.15,425.15
345,C8H18,2-methylheptane,6.91735,1337.468,-59.457,285.15,417.15
346,C8H18,3-methylheptane,6.89944,1331.53,-60.736,286.15,418.15
347,C8H18,4-methylheptane,6.90065,1327.661,-60.582,285.15,417.15
348,C8H18,3-ethylhexane,6.89098,1327.884,-60.555,286.15,418.15
349,C8H18,"2,2-dimethylhexane",6.83715,1273.594,-58.078,276.15,406.15
350,C8H18,"2,3-dimethylhexane",6.87004,1315.503,-58.993,283.15,415.15
351,C8H18,"2,4-dimethylhexane",6.85305,1287.876,-58.36,278.15,408.15
352,C8H18,"2,5-dimethylhexane",6.85984,1287.274,-58.738,278.15,408.15
353,C8H18,"3,3-dimethylhexane",6.85121,1307.882,-55.711,279.15,411.15
354,C8H18,"3,4-dimethylhexane",6.87986,1330.035,-58.287,284.15,417.15
355,C8H18,3-ethyl-2-methylpentane,6.86358,1318.12,-57.844,282.15,415.15
356,C8H18,3-ethyl-3-methylpentane,6.86731,1347.209,-53.466,283.15,418.15
357,C8H18,"2,2,3-trimethylpentane",6.82546,1294.875,-54.73,277.15,409.15
358,C8H18,"2,2,4-trimethylpentane",6.81189,1257.84,-52.415,269.15,398.15
359,C8H18,"2,3,3-trimethylpentane",6.84353,1328.046,-52.775,280.15,415.15
360,C8H18,"2,3,4-trimethylpentane",6.85396,1315.084,-55.624,280.15,413.15
361,C8H18,"2,2,3,3-tetramethylbutane",6.87665,1329.93,-46.79,376.15,406.15
362,C8H18O,butyl-ether,6.9825,1431.5,-66.14,305.15,455.15
363,C8H18O,sec-butyl-ether,6.79153,1348.53,-49.36,330.15,422.15
364,C8H18O,tert-butyl-ether,6.93294,1348.533,-49.36,277.15,382.15
365,C8H18O,octyl-alcohol,6.837,1310.62,-137.09,343.15,468.15
366,C8H18S,butyl-sulfide,6.54589,1421.32,-67.34,379.15,488.15
