Name,Tc (K),Pc (atm),omega,Vc (cm^3/mol)
"3-methyl-1,2-butadiene",496.48333333333335,39.39861302857131,0.1595,np.nan
"ethyne",308.3222222222222,60.58812614963711,0.1841,np.nan
"acetylene",308.3222222222222,60.58812614963711,0.1841,np.nan
"propyne",402.38888888888886,55.53911563716736,0.2176,np.nan
"1-butyne",463.7055555555555,46.50261164719452,0.0501,np.nan
"benzene",562.161111111111,48.33985266925225,0.2100,np.nan
"methylbenzene",591.7888888888888,40.54858981645189,0.2566,np.nan
"toluene",591.7888888888888,40.54858981645189,0.2566,np.nan
"ethylbenzene",617.1722222222222,35.62206203878598,0.3011,np.nan
"1,2-dimethylbenzene",630.3722222222223,36.84008479044647,0.3136,np.nan
"o-xylene",630.3722222222223,36.84008479044647,0.3136,np.nan
"1,3-dimethylbenzene",617.05,34.94840699736481,0.3311,np.nan
"m-xylene",617.05,34.94840699736481,0.3311,np.nan
"1,4-dimethylbenzene",616.2611111111112,34.64900475673318,0.3243,np.nan
"p-xylene",616.2611111111112,34.64900475673318,0.3243,np.nan
"n-propylbenzene",638.3777777777777,31.580131790258974,0.3444,np.nan
"isopropylbenzene",631.15,31.668591543172866,0.3353,np.nan
"1-methyl-2-ethylbenzene",650.9277777777777,30.001465430564917,0.2937,np.nan
"1-methyl-3-ethylbenzene",637.0388888888889,28.000914095435398,0.3598,np.nan
"1-methyl-4-ethylbenzene",640.3722222222223,29.001189763000156,0.3219,np.nan
"1,2,3-trimethylbenzene",664.5277777777778,34.09102785373787,0.3934,np.nan
"1,2,4-trimethylbenzene",649.1277777777777,31.89994782002458,0.3964,np.nan
"1,3,5-trimethvlbenzene",637.3611111111111,30.858844574191863,0.3980,np.nan
"n-butylbenzene",660.5388888888888,28.49084503465079,0.3923,np.nan
"isobutylbenzene",650.3722222222223,29.940224063162994,0.3782,np.nan
"sec-butylbenzene",664.5388888888889,29.12367249780401,0.2736,np.nan
"tert-butylbenzene",659.8166666666666,29.25976442536384,0.2647,np.nan
"1-methyl-2-isopropylbenzene",669.8166666666666,28.579304787564684,0.2769,np.nan
"1-methyl-3-isopropylbenzene",666.2055555555555,29.001189763000156,0.2792,np.nan
"1-methyl-4-isopropylbenzene",653.15,27.89884514976552,0.3714,np.nan
"1,4-diethylbenzene",657.9611111111111,27.660684276535815,0.4031,np.nan
"1,2,4,5-tetramethylbenzene",675.3722222222223,29.25976442536384,0.4255,np.nan
"biphenyl",789.2611111111111,37.969647789193075,0.3643,np.nan
"diphenylmethane",767.5388888888889,29.430559794451426,0.4710,np.nan
"vinylbenzene",647.5944444444444,39.46665899235123,0.2572,np.nan
"1-methyl-2-ethenylbenzene",679.2611111111112,35.99631483957551,0.3755,np.nan
"1-methyl-3-ethenylbenzene",674.8166666666666,35.11171731043661,0.3415,np.nan
"1-methyl-4-ethenylbenzene",675.9277777777777,34.97562538287678,0.3128,np.nan
"naphthalene",748.4277777777777,39.977003720700594,0.3024,np.nan
"1-methylnaphthalene",772.0388888888889,35.22059085248447,0.3337,np.nan
"2-methylnaphthalene",760.9277777777777,34.57415419657527,0.3815,np.nan
"1,2,3,4-tetrahydronaphthalene",719.2611111111112,34.68983233500113,0.3028,np.nan
"cis-decahydronaphthalene",705.2611111111111,31.097005447421566,0.2321,np.nan
"trans-decahydronaphthalene",686.9277777777777,31.097005447421566,0.2738,np.nan
